FID,SRC_AGENCY,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
0,BC,51.8196999999999,-122.0729,2023,9,27,2023-09-27,0.01,H,Fire,FUL
1,BC,54.5692,-128.461099999999,2023,6,2,2023-06-02,1.4,H,Fire,FUL
2,BC,50.1165999999999,-119.273799999999,2023,6,27,2023-06-27,0.009,H,Fire,FUL
3,BC,54.2269999999999,-125.6543,2023,4,28,2023-04-28,1.1,H,Fire,FUL
4,BC,49.5187,-119.5348,2023,4,17,2023-04-17,0.009,H,Fire,FUL
5,BC,52.2471,-122.0648,2023,4,29,2023-04-29,1.0,H,Fire,FUL
6,BC,49.4189999999999,-117.6083,2023,5,3,2023-05-03,3.5,H,Fire,FUL
7,BC,54.0927,-125.9594,2023,6,4,2023-06-04,0.2,H,Fire,FUL
8,BC,49.7995,-123.102,2023,4,29,2023-04-29,0.04,H,Fire,FUL
9,BC,54.9928,-125.913,2023,6,27,2023-06-27,0.1,H,Fire,FUL
10,BC,51.4915,-117.2662,2023,8,15,2023-08-15,0.5,H,Fire,FUL
11,BC,54.6377,-125.7244,2023,8,31,2023-08-31,1.67,H,Fire,FUL
12,BC,54.5358999999999,-128.550199999999,2023,6,10,2023-06-10,0.1,H,Fire,FUL
13,BC,49.7502,-115.747699999999,2023,8,29,2023-08-29,0.6,H,Fire,FUL
14,BC,49.4769,-124.9121,2023,8,3,2023-08-03,0.009,H,Fire,FUL
15,BC,48.6657,-123.8027,2023,9,19,2023-09-19,0.009,H,Fire,FUL
16,BC,53.9193,-126.746799999999,2023,9,15,2023-09-15,0.35,H,Fire,MON
17,BC,55.1503999999999,-123.2007,2023,9,15,2023-09-15,0.001,H,Fire,MOD
18,BC,54.0741999999999,-125.7135,2023,7,4,2023-07-04,0.009,H,Fire,FUL
19,BC,49.0538,-124.2085,2023,5,16,2023-05-16,0.009,H,Fire,FUL
20,BC,53.9234,-126.752399999999,2023,6,27,2023-06-27,0.1,H,Fire,FUL
21,BC,49.2396999999999,-118.6964,2023,7,28,2023-07-28,0.09,H,Fire,FUL
22,BC,53.8093,-122.492099999999,2023,5,21,2023-05-21,0.009,U,Fire,FUL
23,BC,54.6467999999999,-126.9287,2023,5,8,2023-05-08,0.009,H,Fire,MON
24,BC,50.2894,-126.926599999999,2023,6,14,2023-06-14,7.9,H,Fire,FUL
25,BC,50.5176999999999,-124.5693,2023,9,9,2023-09-09,44.5,H,Fire,MOD
26,BC,50.5600999999999,-124.0584,2023,5,13,2023-05-13,0.1,U,Fire,FUL
27,BC,49.9397999999999,-122.387,2023,9,21,2023-09-21,1.15,H,Fire,FUL
28,BC,51.1999,-119.5736,2023,7,3,2023-07-03,16.3,H,Fire,FUL
29,BC,54.1028999999999,-124.6636,2023,6,8,2023-06-08,0.009,H,Fire,FUL
30,BC,49.4630999999999,-123.6241,2023,9,3,2023-09-03,0.009,H,Fire,FUL
31,BC,49.0313,-115.0795,2023,7,8,2023-07-08,0.1,H,Fire,FUL
32,BC,49.4889999999999,-120.6499,2023,8,6,2023-08-06,15.7799999999999,H,Fire,FUL
33,BC,50.3121999999999,-121.5536,2023,5,12,2023-05-12,0.009,H,Fire,MOD
34,BC,51.9996,-122.1568,2023,4,26,2023-04-26,4.93,H,Fire,FUL
35,BC,49.7931999999999,-126.3342,2023,5,28,2023-05-28,0.009,U,Fire,FUL
36,BC,49.715,-126.571299999999,2023,9,11,2023-09-11,0.009,H,Fire,FUL
37,BC,50.5578,-127.0395,2023,5,27,2023-05-27,0.009,H,Fire,FUL
38,BC,49.8977,-125.3836,2023,5,30,2023-05-30,0.009,H,Fire,FUL
39,BC,49.7627,-126.0378,2023,8,9,2023-08-09,0.009,H,Fire,FUL
40,BC,49.5407999999999,-125.0731,2023,8,12,2023-08-12,0.009,H,Fire,FUL
41,BC,50.7772,-119.7298,2023,4,15,2023-04-15,0.715,H,Fire,FUL
42,BC,48.5715,-123.5297,2023,8,15,2023-08-15,0.2,H,Fire,FUL
43,BC,49.0857,-122.1948,2023,3,28,2023-03-28,0.009,H,Fire, 
44,BC,51.0615999999999,-119.0657,2023,7,22,2023-07-22,0.009,H,Fire,FUL
45,BC,49.4474999999999,-124.7636,2023,7,19,2023-07-19,0.2,H,Fire,FUL
