FID,SRC_AGENCY,FIRE_ID,YEAR,MONTH,DAY,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
0,BC,2023-C23369,2023,9,27,0.01,H,Fire,FUL
1,BC,2023-R50580,2023,6,2,1.4,H,Fire,FUL
2,BC,2023-K40937,2023,6,27,0.009,H,Fire,FUL
3,BC,2023-R10108,2023,4,28,1.1,H,Fire,FUL
4,BC,2023-K50058,2023,4,17,0.009,H,Fire,FUL
5,BC,2023-C20133,2023,4,29,1,H,Fire,FUL
6,BC,2023-N50196,2023,5,3,3.5,H,Fire,FUL
7,BC,2023-R10625,2023,6,4,0.2,H,Fire,FUL
8,BC,2023-V30530,2023,4,29,0.04,H,Fire,FUL
9,BC,2023-R20939,2023,6,27,0.1,H,Fire,FUL
10,BC,2023-N42762,2023,8,15,0.5,H,Fire,FUL
11,BC,2023-R13095,2023,8,31,1.67,H,Fire,FUL
12,BC,2023-R50707,2023,6,10,0.1,H,Fire,FUL
13,BC,2023-N13034,2023,8,29,0.6,H,Fire,FUL
14,BC,2023-V72438,2023,8,3,0.009,H,Fire,FUL
15,BC,2023-V63320,2023,9,19,0.009,H,Fire,FUL
16,BC,2023-R23312,2023,9,15,0.35,H,Fire,MON
17,BC,2023-G63267,2023,9,15,0.001,H,Fire,MOD
18,BC,2023-R11124,2023,7,4,0.009,H,Fire,FUL
19,BC,2023-V60346,2023,5,16,0.009,H,Fire,FUL
20,BC,2023-R20947,2023,6,27,0.1,H,Fire,FUL
21,BC,2023-N62301,2023,7,28,0.09,H,Fire,FUL
22,BC,2023-G10471,2023,5,21,0.009,U,Fire,FUL
23,BC,2023-R30248,2023,5,8,0.009,H,Fire,MON
24,BC,2023-V90779,2023,6,14,7.9,H,Fire,FUL
25,BC,2023-V53204,2023,9,9,44.5,H,Fire,MOD
26,BC,2023-V50296,2023,5,13,0.1,U,Fire,FUL
27,BC,2023-V33341,2023,9,21,1.15,H,Fire,FUL
28,BC,2023-K21148,2023,7,3,16.3,H,Fire,FUL
29,BC,2023-G40677,2023,6,8,0.009,H,Fire,FUL
30,BC,2023-V53157,2023,9,3,0.009,H,Fire,FUL
31,BC,2023-N11368,2023,7,8,0.1,H,Fire,FUL
32,BC,2023-K62575,2023,8,6,15.78,H,Fire,FUL
33,BC,2023-K70278,2023,5,12,0.009,H,Fire,MOD
34,BC,2023-C20095,2023,4,26,4.93,H,Fire,FUL
35,BC,2023-V80523,2023,5,28,0.009,U,Fire,FUL
36,BC,2023-V83234,2023,9,11,0.009,H,Fire,FUL
37,BC,2023-V90513,2023,5,27,0.009,H,Fire,FUL
38,BC,2023-V80536,2023,5,30,0.009,H,Fire,FUL
39,BC,2023-V82667,2023,8,9,0.009,H,Fire,FUL
40,BC,2023-V72713,2023,8,12,0.009,H,Fire,FUL
